sample_id,timestamp,fix_id,duration,fix_x,fix_Y,pt_x,pt_y
300,1529085908139138,4,149974,1009.5336064276528,203.82243612877363,1005.5153792729834,199.1921416055411
301,1529085908147517,4,149974,1009.5336064276528,203.82243612877363,1011.9827425121912,206.42434351611882
302,1529085908155761,4,149974,1009.5336064276528,203.82243612877363,1014.2001883930061,198.1264893671032
303,1529085908164141,4,149974,1009.5336064276528,203.82243612877363,1010.3227187035372,200.50501764798537
304,1529085908172386,4,149974,1009.5336064276528,203.82243612877363,1008.5832474766357,201.50459332962055
305,1529085908180887,4,149974,1009.5336064276528,203.82243612877363,1009.0461573586799,203.4130665534176
306,1529085908189003,4,149974,1009.5336064276528,203.82243612877363,1007.4175809748704,202.33979666768573
307,1529085908197509,4,149974,1009.5336064276528,203.82243612877363,1007.7485030400567,205.76315683557186
308,1529085908205753,4,149974,1009.5336064276528,203.82243612877363,1008.4202815682511,210.4268937598681
309,1529085908214133,4,149974,1009.5336064276528,203.82243612877363,1006.9145319740346,207.41775662114378
310,1529085908222376,4,149974,1009.5336064276528,203.82243612877363,1006.5566299302736,204.8635819463525
311,1529085908230877,4,149974,1009.5336064276528,203.82243612877363,992.4480306377518,203.6428634765325
312,1529085908238995,-1,-1,0,0,911.0959234507754,194.09858197136782
313,1529085908247496,-1,-1,0,0,780.7395786812413,187.542917995248
314,1529085908255743,-1,-1,0,0,549.1794348999974,184.5286648866022
315,1529085908264121,-1,-1,0,0,501.5653157385532,195.13252971170004
316,1529085908272240,-1,-1,0,0,410.9228733582131,215.4787635555258
317,1529085908280744,-1,-1,0,0,359.47518907065387,245.08104631642345
318,1529085908288986,5,291585,375.16708965861216,253.20158790212895,356.36105853816844,259.3960688817315
319,1529085908297364,5,291585,375.16708965861216,253.20158790212895,366.8572368231253,279.6249674363062
320,1529085908305607,5,291585,375.16708965861216,253.20158790212895,364.19163146885694,246.54464183852542
321,1529085908314112,5,291585,375.16708965861216,253.20158790212895,366.10088456611265,252.86872730555478
322,1529085908322229,5,291585,375.16708965861216,253.20158790212895,368.98056032077875,258.0103665518109
323,1529085908330734,5,291585,375.16708965861216,253.20158790212895,373.8618006792967,251.34660129179247
324,1529085908338977,5,291585,375.16708965861216,253.20158790212895,373.36721344690886,250.88134559395257
325,1529085908347357,5,291585,375.16708965861216,253.20158790212895,371.0168611498375,253.9462498978246
326,1529085908355602,5,291585,375.16708965861216,253.20158790212895,372.1354599315964,249.45184988784604
327,1529085908363977,5,291585,375.16708965861216,253.20158790212895,375.61630270807655,252.7676564018475
328,1529085908372223,5,291585,375.16708965861216,253.20158790212895,378.8360330215073,254.8604753712425
329,1529085908380725,5,291585,375.16708965861216,253.20158790212895,377.91030820910237,252.05440415150952
330,1529085908388848,5,291585,375.16708965861216,253.20158790212895,378.4110313677229,251.45989698695485
331,1529085908397354,5,291585,375.16708965861216,253.20158790212895,382.6797229531803,237.3664137639571
332,1529085908405593,5,291585,375.16708965861216,253.20158790212895,375.5771728065156,250.34769208484795
